uniprot_id	protein_function
P26358	Transferase (one-carbon groups)
P26358	DNA binding
P26431	Transporter
P26433	Transporter
P26435	Transporter
P26439	Isomerase
P26439	Oxidoreductase
P26572	Transferase (glycosyl groups)
P26639	Ligase
P26663	Peptidase
P26663	Hydrolase (acid anhydrides)
P26663	Transferase (phosphorus-containing groups, non-kinase)
P26663	Transporter
P26684	G protein-coupled receptor
P26769	Lyase
P26885	Isomerase
P26918	Hydrolase (C-N bonds, no peptides)
P26927	no_function
P27008	Transferase (glycosyl groups)
P27008	DNA binding
P27028	Peptidase
P27037	Transmembrane receptor protein kinase
P27037	Kinase
P27117	Lyase
P27139	Hydrolase (ester bonds)
P27139	Lyase
P27169	Hydrolase (ester bonds)
P27338	Oxidoreductase
P27361	Kinase
P27435	Peptidase
P27448	Kinase
P27463	Oxidoreductase
P27467	Transcription regulator
P27471	no_function
P27487	Peptidase
P27694	DNA binding
P27695	Hydrolase (ester bonds)
P27695	Hydrolase (glycosyl bonds)
P27695	Oxidoreductase
P27695	Transcription regulator
P27695	DNA binding
P27707	Kinase
P27708	Hydrolase (C-N bonds, no peptides)
P27708	Ligase
P27708	Transferase (one-carbon groups)
P27708	Kinase
P27732	Transporter
P27791	Kinase
P27815	Hydrolase (ester bonds)
P27867	Oxidoreductase
P27958	Enzyme regulator
P27958	Peptidase
P27958	Hydrolase (acid anhydrides)
P27958	Transferase (phosphorus-containing groups, non-kinase)
P27958	Transporter
P27986	Enzyme regulator
P27987	Kinase
P28028	Kinase
P28062	Peptidase
P28063	Peptidase
P28065	Peptidase
P28074	Peptidase
P28190	G protein-coupled receptor
P28221	G protein-coupled receptor
P28221	Serotonin binding
P28222	G protein-coupled receptor
P28222	Serotonin binding
P28222	Transporter
P28223	G protein-coupled receptor
P28223	Serotonin binding
P28293	Peptidase
P28300	Oxidoreductase
P28301	Oxidoreductase
P28327	Kinase
P28335	G protein-coupled receptor
P28335	Serotonin binding
P28336	G protein-coupled receptor
P28340	Hydrolase (ester bonds)
P28340	Transferase (phosphorus-containing groups, non-kinase)
P28340	DNA binding
P28347	Transcription regulator
P28347	DNA binding
P28472	Transmembrane signaling receptors (other)
P28472	Transporter
P28474	Oxidoreductase
P28476	Transmembrane signaling receptors (other)
P28476	Transporter
P28482	Kinase
P28482	DNA binding
P28523	Kinase
P28562	Hydrolase (ester bonds)
P28564	G protein-coupled receptor
P28564	Serotonin binding
P28564	Transporter
P28565	G protein-coupled receptor
P28565	Serotonin binding
P28566	G protein-coupled receptor
P28566	Serotonin binding
P28571	Transporter
P28572	Transporter
P28593	Oxidoreductase
P28646	G protein-coupled receptor
P28647	G protein-coupled receptor
P28700	Signaling receptor (not transmembrane)
P28700	Transcription regulator
P28700	DNA binding
P28702	Signaling receptor (not transmembrane)
P28702	Transcription regulator
P28702	DNA binding
P28704	Signaling receptor (not transmembrane)
P28704	Transcription regulator
P28704	DNA binding
P28705	Signaling receptor (not transmembrane)
P28705	Transcription regulator
P28705	DNA binding
P28776	Oxidoreductase
P28827	Hydrolase (ester bonds)
P28827	Transmembrane signaling receptors (other)
P28838	Peptidase
P28839	Peptidase
P28843	Peptidase
P28845	Oxidoreductase
P28867	Enzyme regulator
P28867	Kinase
P28907	Hydrolase (glycosyl bonds)
P28907	Lyase
P28907	Transferase (other)
P29033	Transporter
P29089	G protein-coupled receptor
P29144	Peptidase
P29274	G protein-coupled receptor
P29275	G protein-coupled receptor
P29276	G protein-coupled receptor
P29317	Transmembrane receptor protein kinase
P29317	Kinase
P29319	Transmembrane receptor protein kinase
P29319	Kinase
P29320	Transmembrane receptor protein kinase
P29320	Kinase
P29322	Transmembrane receptor protein kinase
P29322	Kinase
P29323	Transmembrane receptor protein kinase
P29323	Kinase
P29338	no_function
P29350	Hydrolase (ester bonds)
P29350	Transmembrane signaling receptors (other)
P29371	G protein-coupled receptor
P29372	Hydrolase (glycosyl bonds)
P29372	DNA binding
P29373	no_function
P29375	Oxidoreductase
P29375	Transcription regulator
P29375	DNA binding
P29376	Transmembrane receptor protein kinase
P29376	Kinase
P29401	Transferase (other)
P29410	Kinase
P29411	Kinase
P29452	Peptidase
P29466	Enzyme regulator
P29466	Peptidase
P29473	Oxidoreductase
P29474	Oxidoreductase
P29475	Oxidoreductase
P29476	Oxidoreductase
P29477	Enzyme regulator
P29477	Oxidoreductase
P29597	Kinase
P29598	Peptidase
P29678	Kinase
P29853	Hydrolase (glycosyl bonds)
P29994	Transporter
P30082	G protein-coupled receptor
P30083	G protein-coupled receptor
P30085	Kinase
P30086	Enzyme regulator
P30098	G protein-coupled receptor
P30101	Peptidase
P30101	Hydrolase (ester bonds)
P30101	Isomerase
P30101	Oxidoreductase
P30122	Hydrolase (ester bonds)
P30124	Lyase
P30191	Transmembrane signaling receptors (other)
P30191	Transporter
P30291	Kinase
P30304	Hydrolase (ester bonds)
P30305	Hydrolase (ester bonds)
P30307	Hydrolase (ester bonds)
P30355	Enzyme regulator
P30355	Lyase
P30355	Oxidoreductase
P30355	Transferase (alkyl or aryl groups, no methyl)
P30411	Hydrolase (ester bonds)
P30411	G protein-coupled receptor
P30419	Transferase (acyl groups)
P30518	G protein-coupled receptor
P30519	Oxidoreductase
P30530	Transmembrane receptor protein kinase
P30530	Kinase
P30531	Transporter
P30536	Signaling receptor (not transmembrane)
P30536	Transporter
P30542	G protein-coupled receptor
P30543	G protein-coupled receptor
P30547	G protein-coupled receptor
P30550	G protein-coupled receptor
P30551	G protein-coupled receptor
P30552	G protein-coupled receptor
P30553	G protein-coupled receptor
P30555	G protein-coupled receptor
P30556	G protein-coupled receptor
P30557	G protein-coupled receptor
P30559	G protein-coupled receptor
P30560	G protein-coupled receptor
P30561	Signaling receptor (not transmembrane)
P30561	Transcription regulator
P30561	DNA binding
P30613	Kinase
P30680	G protein-coupled receptor
P30729	G protein-coupled receptor
P30729	Dopamine binding
P30729	Epinephrine binding
P30730	G protein-coupled receptor
P30837	Oxidoreductase
P30838	Oxidoreductase
P30872	G protein-coupled receptor
P30874	G protein-coupled receptor
P30935	G protein-coupled receptor
P30936	G protein-coupled receptor
P30939	G protein-coupled receptor
P30939	Serotonin binding
P30966	G protein-coupled receptor
P30966	Serotonin binding
P30968	G protein-coupled receptor
P30969	G protein-coupled receptor
P30987	G protein-coupled receptor
P30989	G protein-coupled receptor
P30994	Enzyme regulator
P30994	G protein-coupled receptor
P30994	Serotonin binding
P31152	Kinase
P31153	Transferase (alkyl or aryl groups, no methyl)
P31213	Oxidoreductase
P31214	Oxidoreductase
P31224	Transporter
P31228	Oxidoreductase
P31327	Peptidase
P31327	Ligase
P31350	Oxidoreductase
P31388	G protein-coupled receptor
P31389	G protein-coupled receptor
P31389	Transporter
P31390	G protein-coupled receptor
P31391	G protein-coupled receptor
P31421	G protein-coupled receptor
P31422	G protein-coupled receptor
P31423	G protein-coupled receptor
P31424	G protein-coupled receptor
P31482	Hydrolase (ester bonds)
P31639	Transporter
P31641	Transporter
P31644	Transmembrane signaling receptors (other)
P31644	Transporter
P31645	Serotonin binding
P31645	Transporter
P31646	Transporter
P31648	Transporter
P31649	Transporter
P31650	Transporter
P31651	Transporter
P31652	Serotonin binding
P31652	Transporter
P31689	no_function
P31749	Enzyme regulator
P31749	Kinase
P31750	Enzyme regulator
P31750	Kinase
P31751	Kinase
P31938	Enzyme regulator
P31938	Kinase
P31939	Hydrolase (C-N bonds, no peptides)
P31939	Transferase (one-carbon groups)
P31941	Hydrolase (C-N bonds, no peptides)
P31944	Peptidase
P31947	Enzyme regulator
P32019	Hydrolase (ester bonds)
P32038	Peptidase
P32198	Transferase (acyl groups)
P32238	G protein-coupled receptor
P32239	Enzyme regulator
P32239	G protein-coupled receptor
P32240	G protein-coupled receptor
P32241	G protein-coupled receptor
P32244	G protein-coupled receptor
P32245	G protein-coupled receptor
P32246	Hydrolase (ester bonds)
P32246	G protein-coupled receptor
P32247	G protein-coupled receptor
P32248	G protein-coupled receptor
P32249	G protein-coupled receptor
P32297	Transmembrane signaling receptors (other)
P32297	Acetylcholine binding
P32297	Transporter
P32298	Kinase
P32300	G protein-coupled receptor
P32301	G protein-coupled receptor
P32302	G protein-coupled receptor
P32304	G protein-coupled receptor
P32305	G protein-coupled receptor
P32320	Hydrolase (C-N bonds, no peptides)
P32322	Oxidoreductase
P32358	Hydrolase (glycosyl bonds)
P32745	G protein-coupled receptor
P32750	Hydrolase (ester bonds)
P32754	Oxidoreductase
P32755	Oxidoreductase
P32871	Enzyme regulator
P32871	Kinase
P32897	Transporter
P32929	Lyase
P33032	G protein-coupled receptor
P33033	G protein-coupled receptor
P33072	Oxidoreductase
P33176	Hydrolase (acid anhydrides)
P33316	Hydrolase (acid anhydrides)
P33434	Peptidase
P33435	Peptidase
P33533	G protein-coupled receptor
P33534	G protein-coupled receptor
P33535	G protein-coupled receptor
P33535	Transporter
P33766	G protein-coupled receptor
P33905	Transcription regulator
P33905	DNA binding
P33981	Kinase
P33991	Hydrolase (acid anhydrides)
P33991	DNA binding
P34021	Signaling receptor (not transmembrane)
P34021	Transcription regulator
P34021	DNA binding
P34884	Isomerase
P34896	Transferase (one-carbon groups)
P34897	Transferase (one-carbon groups)
P34903	Transmembrane signaling receptors (other)
P34903	Transporter
P34913	Hydrolase (ester bonds)
P34914	Hydrolase (ester bonds)
P34947	Kinase
P34949	Isomerase
P34960	Peptidase
P34960	DNA binding
P34969	G protein-coupled receptor
P34970	G protein-coupled receptor
P34971	Enzyme regulator
P34971	G protein-coupled receptor
P34972	G protein-coupled receptor
P34975	G protein-coupled receptor
P34976	G protein-coupled receptor
P34978	G protein-coupled receptor
P34980	G protein-coupled receptor
P34995	G protein-coupled receptor
P34998	G protein-coupled receptor
P35030	Peptidase
P35125	Enzyme regulator
P35125	Peptidase
P35218	Lyase
P35222	Transcription regulator
P35228	Oxidoreductase
P35236	Hydrolase (ester bonds)
P35270	Oxidoreductase
P35327	Transcription regulator
P35327	DNA binding
P35342	G protein-coupled receptor
P35343	G protein-coupled receptor
P35344	G protein-coupled receptor
P35346	G protein-coupled receptor
P35348	G protein-coupled receptor
P35349	G protein-coupled receptor
P35351	G protein-coupled receptor
P35353	G protein-coupled receptor
P35354	Oxidoreductase
P35355	Oxidoreductase
P35364	G protein-coupled receptor
P35364	Serotonin binding
P35367	G protein-coupled receptor
P35368	G protein-coupled receptor
P35370	G protein-coupled receptor
P35372	G protein-coupled receptor
P35372	Transporter
P35375	G protein-coupled receptor
P35377	G protein-coupled receptor
P35383	G protein-coupled receptor
P35396	Enzyme regulator
P35396	G protein-coupled receptor
P35396	Transcription regulator
P35396	DNA binding
P35398	Signaling receptor (not transmembrane)
P35398	Transcription regulator
P35398	DNA binding
P35400	Enzyme regulator
P35400	G protein-coupled receptor
P35400	Transporter
P35406	G protein-coupled receptor
P35408	G protein-coupled receptor
P35414	G protein-coupled receptor
P35428	Transcription regulator
P35428	DNA binding
P35439	Transmembrane signaling receptors (other)
P35439	Transporter
P35462	G protein-coupled receptor
P35463	G protein-coupled receptor
P35498	Transporter
P35499	Transporter
P35520	Lyase
P35520	Oxidoreductase
P35546	Transmembrane receptor protein kinase
P35546	Kinase
P35557	Kinase
P35558	Lyase
P35558	Kinase
P35560	Transporter
P35561	Transporter
P35563	Transmembrane signaling receptors (other)
P35563	Serotonin binding
P35563	Transporter
P35568	no_function
P35574	Hydrolase (glycosyl bonds)
P35574	Transferase (glycosyl groups)
P35579	no_function
P35580	no_function
P35590	Transmembrane receptor protein kinase
P35590	Kinase
P35610	Transferase (acyl groups)
P35626	Kinase
P35739	Transmembrane receptor protein kinase
P35739	Kinase
P35750	Peptidase
P35790	Hydrolase (ester bonds)
P35790	Kinase
P35813	Hydrolase (ester bonds)
P35821	Hydrolase (ester bonds)
P35869	Signaling receptor (not transmembrane)
P35869	Transcription regulator
P35869	DNA binding
P35916	Transmembrane receptor protein kinase
P35916	Kinase
P35917	Transmembrane receptor protein kinase
P35917	Kinase
P35918	Transmembrane receptor protein kinase
P35918	Kinase
P35961	no_function
P35968	Transmembrane receptor protein kinase
P35968	Kinase
P35969	Transmembrane receptor protein kinase
P35969	Kinase
P35991	Enzyme regulator
P35991	Kinase
P36196	Hydrolase (ester bonds)
P36400	Peptidase
P36507	Enzyme regulator
P36507	Kinase
P36544	Transmembrane signaling receptors (other)
P36544	Acetylcholine binding
P36544	Transporter
P36639	Hydrolase (acid anhydrides)
P36836	Transporter
P36888	Transmembrane receptor protein kinase
P36888	Kinase
P36894	Enzyme regulator
P36894	Transmembrane receptor protein kinase
P36894	Kinase
P36896	Transmembrane receptor protein kinase
P36896	Kinase
P36897	Transmembrane receptor protein kinase
P36897	Kinase
P36906	Hydrolase (glycosyl bonds)
P36969	Oxidoreductase
P37023	Transmembrane receptor protein kinase
P37023	Kinase
P37058	Oxidoreductase
P37059	Oxidoreductase
P37136	Hydrolase (ester bonds)
P37136	Acetylcholine binding
P37173	Transmembrane receptor protein kinase
P37173	Kinase
P37231	G protein-coupled receptor
P37231	Transcription regulator
P37231	DNA binding
P37238	Signaling receptor (not transmembrane)
P37238	Transcription regulator
P37238	DNA binding
P37268	Transferase (alkyl or aryl groups, no methyl)
P37288	G protein-coupled receptor
P37289	G protein-coupled receptor
P37340	Transporter
P37798	Ligase
P37840	Enzyme regulator
P37840	Oxidoreductase
P37840	DNA binding
P38024	Ligase
P38024	Lyase
P38117	Oxidoreductase
P38398	Transcription regulator
P38398	Transferase (other)
P38398	DNA binding
P38571	Hydrolase (ester bonds)
P38605	Isomerase
P38646	Hydrolase (acid anhydrides)
P38650	no_function
P38919	Hydrolase (acid anhydrides)
P38936	Enzyme regulator
P38936	Kinase
P39050	Oxidoreductase
P39051	Oxidoreductase
P39052	Hydrolase (acid anhydrides)
P39086	Transmembrane signaling receptors (other)
P39086	Transporter
P39654	Hydrolase (other)
P39654	Isomerase
P39654	Oxidoreductase
P39688	Enzyme regulator
P39688	Kinase
P39748	Hydrolase (ester bonds)
P39748	DNA binding
P39877	Hydrolase (ester bonds)
P39898	Peptidase
P39900	Peptidase
P39900	DNA binding
P40136	Peptidase
P40136	Lyase
P40145	Lyase
P40189	Transmembrane signaling receptors (other)
P40220	no_function
P40261	Transferase (one-carbon groups)
P40306	Peptidase
P40337	Transcription regulator
P40337	Transferase (other)
P40763	Signaling receptor (not transmembrane)
P40763	Transcription regulator
P40763	DNA binding
P40818	Peptidase
P40881	Lyase
P40925	Oxidoreductase
P40926	Oxidoreductase
P40933	no_function
P41143	G protein-coupled receptor
P41144	G protein-coupled receptor
P41145	G protein-coupled receptor
P41146	G protein-coupled receptor
P41148	Hydrolase (acid anhydrides)
P41180	Hydrolase (ester bonds)
P41180	G protein-coupled receptor
P41182	Transcription regulator
P41182	DNA binding
P41212	Transcription regulator
P41212	DNA binding
P41226	Ligase
P41226	Transferase (other)
P41229	Oxidoreductase
P41229	DNA binding
P41231	G protein-coupled receptor
P41235	Signaling receptor (not transmembrane)
P41235	Transcription regulator
P41235	DNA binding
P41240	Kinase
P41245	Peptidase
P41250	Hydrolase (acid anhydrides)
P41250	Ligase
P41250	Transferase (other)
P41279	Kinase
P41440	Folic acid binding
P41440	Transporter
P41586	G protein-coupled receptor
P41587	G protein-coupled receptor
P41593	G protein-coupled receptor
P41594	Enzyme regulator
P41594	G protein-coupled receptor
P41595	Enzyme regulator
P41595	G protein-coupled receptor
P41595	Serotonin binding
P41597	G protein-coupled receptor
P41738	Signaling receptor (not transmembrane)
P41738	Transcription regulator
P41738	DNA binding
P41743	Kinase
P41968	G protein-coupled receptor
P41972	Hydrolase (ester bonds)
P41972	Ligase
P42224	Transcription regulator
P42224	DNA binding
P42225	Transcription regulator
P42225	DNA binding
P42226	Transcription regulator
P42226	DNA binding
P42227	Signaling receptor (not transmembrane)
P42227	Transcription regulator
P42227	DNA binding
P42229	Transcription regulator
P42229	DNA binding
P42232	Transcription regulator
P42232	DNA binding
P42260	Transmembrane signaling receptors (other)
P42260	Transporter
P42261	Transmembrane signaling receptors (other)
P42261	Transporter
P42262	Transmembrane signaling receptors (other)
P42262	Transporter
P42263	Transmembrane signaling receptors (other)
P42263	Transporter
P42264	G protein-coupled receptor
P42264	Transporter
P42285	Hydrolase (acid anhydrides)
P42330	Oxidoreductase
P42336	Enzyme regulator
P42336	Kinase
P42337	Enzyme regulator
P42337	Kinase
P42338	Kinase
P42345	Kinase
P42345	DNA binding
P42346	Kinase
P42346	DNA binding
P42356	Kinase
P42574	Enzyme regulator
P42574	Peptidase
P42575	Peptidase
P42677	DNA binding
P42679	Kinase
P42680	Kinase
P42681	Kinase
P42684	Kinase
P42685	Kinase
P42785	Peptidase
P42858	no_function
P42866	G protein-coupled receptor
P42866	Transporter
P42891	Peptidase
P42892	Peptidase
P43003	Transporter
P43004	Transporter
P43005	Transporter
P43057	Kinase
P43088	G protein-coupled receptor
P43114	G protein-coupled receptor
P43115	G protein-coupled receptor
P43116	G protein-coupled receptor
P43117	G protein-coupled receptor
P43119	Enzyme regulator
P43119	G protein-coupled receptor
P43140	G protein-coupled receptor
P43143	Transmembrane signaling receptors (other)
P43143	Transporter
P43166	Lyase
P43219	G protein-coupled receptor
P43220	G protein-coupled receptor
P43235	Peptidase
P43236	Peptidase
P43249	Kinase
P43250	Kinase
P43253	G protein-coupled receptor
P43346	Kinase
P43351	DNA binding
P43354	Signaling receptor (not transmembrane)
P43354	Transcription regulator
P43354	DNA binding
P43367	Peptidase
P43378	Hydrolase (ester bonds)
P43403	Kinase
P43404	Kinase
P43405	Kinase
P43428	Hydrolase (ester bonds)
P43428	Transferase (phosphorus-containing groups, non-kinase)
P43490	Transferase (glycosyl groups)
P43680	Transcription regulator
P43680	DNA binding
P43681	Transmembrane signaling receptors (other)
P43681	Acetylcholine binding
P43681	Transporter
P43686	Hydrolase (acid anhydrides)
P45446	G protein-coupled receptor
P45446	Transcription regulator
P45446	DNA binding
P45452	Peptidase
P45880	Transporter
P45973	no_function
P45974	Peptidase
P45983	Enzyme regulator
P45983	Kinase
P45984	Kinase
P45985	Kinase
P46059	Transporter
P46063	Hydrolase (acid anhydrides)
P46063	DNA binding
P46092	G protein-coupled receptor
P46093	G protein-coupled receptor
P46095	G protein-coupled receptor
P46098	Transmembrane signaling receptors (other)
P46098	Serotonin binding
P46098	Transporter
P46406	Oxidoreductase
P46406	Transferase (other)
P46510	Lyase
P46531	Enzyme regulator
P46531	Transmembrane signaling receptors (other)
P46531	Transcription regulator
P46531	DNA binding
P46616	G protein-coupled receptor
P46663	G protein-coupled receptor
P46734	Kinase
P46925	Peptidase
P46934	Transferase (other)
P46937	Transcription regulator
P46937	DNA binding
P46952	Oxidoreductase
P46953	Oxidoreductase
P47196	Enzyme regulator
P47196	Kinase
P47199	Oxidoreductase
P47205	Hydrolase (C-N bonds, no peptides)
P47211	G protein-coupled receptor
P47712	Hydrolase (ester bonds)
P47712	Transferase (acyl groups)
P47745	G protein-coupled receptor
P47746	G protein-coupled receptor
P47746	Transporter
P47747	G protein-coupled receptor
P47748	G protein-coupled receptor
P47752	G protein-coupled receptor
P47806	Transcription regulator
P47806	DNA binding
P47811	Kinase
P47820	Peptidase
P47824	Transmembrane signaling receptors (other)
P47824	Transporter
P47869	Transmembrane signaling receptors (other)
P47869	Transporter
P47871	G protein-coupled receptor
P47895	Oxidoreductase
P47898	G protein-coupled receptor
P47898	Serotonin binding
P47900	G protein-coupled receptor
P47901	G protein-coupled receptor
P47929	no_function
P47936	G protein-coupled receptor
P47989	Oxidoreductase
P48039	G protein-coupled receptor
P48048	Transporter
P48050	Transporter
P48052	Peptidase
P48058	Transmembrane signaling receptors (other)
P48058	Transporter
P48061	no_function
P48065	Transporter
P48066	Transporter
P48067	Transporter
P48145	G protein-coupled receptor
P48147	Peptidase
P48163	Lyase
P48163	Oxidoreductase
P48169	Transmembrane signaling receptors (other)
P48169	Transporter
P48302	G protein-coupled receptor
P48303	G protein-coupled receptor
P48426	Kinase
P48442	G protein-coupled receptor
P48443	Signaling receptor (not transmembrane)
P48443	Transcription regulator
P48443	DNA binding
P48449	Isomerase
P48450	Isomerase
P48544	Transporter
P48546	G protein-coupled receptor
P48549	Transporter
P48729	Kinase
P48730	Kinase
P48735	Oxidoreductase
P48736	Kinase
P48748	G protein-coupled receptor
P48763	Transporter
P48764	Transporter
P48775	Oxidoreductase
P48776	Oxidoreductase
P48974	G protein-coupled receptor
P48999	Hydrolase (other)
P48999	Oxidoreductase
P49019	G protein-coupled receptor
P49116	Signaling receptor (not transmembrane)
P49116	Transcription regulator
P49116	DNA binding
P49137	Kinase
P49138	Kinase
P49146	G protein-coupled receptor
P49185	Enzyme regulator
P49185	Kinase
P49187	Kinase
P49219	G protein-coupled receptor
P49238	G protein-coupled receptor
P49279	Transporter
P49281	Transporter
P49286	G protein-coupled receptor
P49290	Oxidoreductase
P49327	Hydrolase (ester bonds)
P49327	Lyase
P49327	Oxidoreductase
P49327	Transferase (acyl groups)
P49336	Kinase
P49366	Transferase (alkyl or aryl groups, no methyl)
P49411	Hydrolase (acid anhydrides)
P49582	Transmembrane signaling receptors (other)
P49582	Acetylcholine binding
P49582	Transporter
P49585	Transferase (phosphorus-containing groups, non-kinase)
P49589	Ligase
P49591	Ligase
P49591	DNA binding
P49616	Signaling receptor (not transmembrane)
P49619	Kinase
P49638	Transporter
P49652	G protein-coupled receptor
P49654	Transmembrane signaling receptors (other)
P49654	Transporter
P49662	Peptidase
P49674	Kinase
P49681	G protein-coupled receptor
P49682	G protein-coupled receptor
P49683	G protein-coupled receptor
P49684	G protein-coupled receptor
P49721	Peptidase
P49743	Signaling receptor (not transmembrane)
P49743	Transcription regulator
P49743	DNA binding
P49748	Oxidoreductase
P49759	Kinase
P49760	Kinase
P49761	Kinase
P49763	no_function
P49768	Peptidase
P49768	Transporter
P49773	Peptidase
P49773	Hydrolase (C-N bonds, no peptides)
P49795	Hydrolase (acid anhydrides)
P49810	Peptidase
P49840	Kinase
P49841	Kinase
P49862	Peptidase
P49881	Signaling receptor (not transmembrane)
P49881	Transcription regulator
P49881	DNA binding
P49892	G protein-coupled receptor
P49915	Hydrolase (acid anhydrides)
P49915	Ligase
P49916	Ligase
P49916	DNA binding
P49917	Ligase
P49917	DNA binding
P49959	Hydrolase (ester bonds)
P49959	DNA binding
P49961	Hydrolase (acid anhydrides)
P50052	G protein-coupled receptor
P50053	Kinase
P50127	Transferase (glycosyl groups)
P50128	G protein-coupled receptor
P50128	Serotonin binding
P50129	G protein-coupled receptor
P50130	G protein-coupled receptor
P50172	Oxidoreductase
P50233	Oxidoreductase
P50250	Hydrolase (other)
P50281	Peptidase
P50336	Oxidoreductase
P50391	G protein-coupled receptor
P50406	G protein-coupled receptor
P50407	G protein-coupled receptor
P50416	Transferase (acyl groups)
P50482	Transporter
P50554	Transferase (other)
P50570	Hydrolase (acid anhydrides)
P50578	Oxidoreductase
P50579	Peptidase
P50583	Hydrolase (acid anhydrides)
P50591	no_function
P50613	Kinase
P50637	Signaling receptor (not transmembrane)
P50747	Ligase
P50750	Kinase
P50750	DNA binding
P50997	Transporter
P51136	Kinase
P51149	Hydrolase (acid anhydrides)
P51159	Hydrolase (acid anhydrides)
P51160	Hydrolase (ester bonds)
P51161	no_function
P51449	Signaling receptor (not transmembrane)
P51449	Transcription regulator
P51449	DNA binding
P51450	Signaling receptor (not transmembrane)
P51450	Transcription regulator
P51450	DNA binding
P51451	Kinase
P51452	Hydrolase (ester bonds)
P51511	Enzyme regulator
P51511	Peptidase
P51512	Enzyme regulator
P51512	Peptidase
P51530	Hydrolase (acid anhydrides)
P51530	Hydrolase (ester bonds)
P51530	DNA binding
P51531	Hydrolase (acid anhydrides)
P51531	Transcription regulator
P51531	DNA binding
P51532	Hydrolase (acid anhydrides)
P51532	Transcription regulator
P51532	DNA binding
P51556	Kinase
P51570	Kinase
P51575	Transmembrane signaling receptors (other)
P51575	Transporter
P51576	Transmembrane signaling receptors (other)
P51576	Transporter
P51577	Transmembrane signaling receptors (other)
P51577	Transporter
P51580	Transferase (one-carbon groups)
P51582	G protein-coupled receptor
P51617	Enzyme regulator
P51617	Kinase
P51635	Oxidoreductase
P51639	Oxidoreductase
P51649	Oxidoreductase
P51656	Oxidoreductase
P51657	Oxidoreductase
P51658	Oxidoreductase
P51661	Oxidoreductase
P51675	Hydrolase (ester bonds)
P51675	G protein-coupled receptor
P51677	G protein-coupled receptor
P51678	G protein-coupled receptor
P51679	G protein-coupled receptor
P51680	G protein-coupled receptor
P51681	Hydrolase (ester bonds)
P51681	G protein-coupled receptor
P51682	G protein-coupled receptor
P51683	G protein-coupled receptor
P51684	G protein-coupled receptor
P51685	G protein-coupled receptor
P51686	G protein-coupled receptor
P51692	Transcription regulator
P51692	DNA binding
P51784	Peptidase
P51787	Transporter
P51812	Enzyme regulator
P51812	Kinase
P51813	Kinase
P51817	Kinase
P51878	Peptidase
P51955	Kinase
P51956	Kinase
P51957	Kinase
P51993	Transferase (glycosyl groups)
P52270	Isomerase
P52332	Kinase
P52333	Kinase
P52564	Enzyme regulator
P52564	Kinase
P52565	Enzyme regulator
P52633	Transcription regulator
P52633	DNA binding
P52663	Hydrolase (C-N bonds, no peptides)
P52699	Hydrolase (C-N bonds, no peptides)
P52700	Hydrolase (C-N bonds, no peptides)
P52702	G protein-coupled receptor
P52732	no_function
P52789	Kinase
P52895	Oxidoreductase
P53041	Hydrolase (ester bonds)
P53350	Kinase
P53355	Kinase
P53396	Transferase (acyl groups)
P53539	Transcription regulator
P53539	DNA binding
P53582	Peptidase
P53624	Hydrolase (glycosyl bonds)
P53634	Enzyme regulator
P53634	Peptidase
P53667	Kinase
P53669	Kinase
P53671	Kinase
P53778	Kinase
P53779	Kinase
P53790	Transporter
P53792	Transporter
P53816	Hydrolase (ester bonds)
P53816	Transferase (acyl groups)
P53985	Transporter
P53987	Transporter
P54098	Hydrolase (ester bonds)
P54098	Transferase (phosphorus-containing groups, non-kinase)
P54098	DNA binding
P54132	Hydrolase (acid anhydrides)
P54132	DNA binding
P54219	Transporter
P54252	Peptidase
P54289	Transporter
P54290	Transporter
P54292	Signaling receptor (not transmembrane)
P54292	Transcription regulator
P54292	DNA binding
P54577	Ligase
P54578	Enzyme regulator
P54578	Peptidase
P54619	Enzyme regulator
P54619	Kinase
P54646	Kinase
P54652	Hydrolase (acid anhydrides)
P54687	Transferase (other)
P54690	Transferase (other)
P54697	no_function
P54750	Hydrolase (ester bonds)
P54753	Transmembrane receptor protein kinase
P54753	Kinase
P54756	Transmembrane receptor protein kinase
P54756	Kinase
P54760	Transmembrane receptor protein kinase
P54760	Kinase
P54762	Transmembrane receptor protein kinase
P54762	Kinase
P54763	Transmembrane receptor protein kinase
P54763	Kinase
P54764	Transmembrane receptor protein kinase
P54764	Kinase
P54803	Hydrolase (glycosyl bonds)
P54819	Kinase
P54829	Hydrolase (ester bonds)
P54833	G protein-coupled receptor
P54904	Oxidoreductase
P55011	Transporter
P55055	Signaling receptor (not transmembrane)
P55055	Transcription regulator
P55055	DNA binding
P55072	Enzyme regulator
P55072	Hydrolase (acid anhydrides)
P55085	G protein-coupled receptor
P55097	Peptidase
P55157	Transporter
P55201	Enzyme regulator
P55201	DNA binding
P55210	Peptidase
P55211	Enzyme regulator
P55211	Peptidase
P55212	Peptidase
P55263	Kinase
P55786	Peptidase
P55859	Transferase (glycosyl groups)
P55926	Transporter
P56192	Ligase
P56373	Transmembrane signaling receptors (other)
P56373	Transporter
P56450	G protein-coupled receptor
P56470	no_function
P56481	G protein-coupled receptor
P56483	G protein-coupled receptor
P56485	G protein-coupled receptor
P56524	Hydrolase (C-N bonds, no peptides)
P56524	Transferase (other)
P56524	DNA binding
P56526	Hydrolase (glycosyl bonds)
P56528	Hydrolase (glycosyl bonds)
