uniprot_id	protein_function
O35505	Transporter
O35627	Signaling receptor (not transmembrane)
O35627	Transcription regulator
O35627	DNA binding
O35678	Hydrolase (ester bonds)
O35760	Isomerase
O35820	Hydrolase (glycosyl bonds)
O35854	Transferase (other)
O35881	G protein-coupled receptor
O35904	Kinase
O35921	Transporter
O35949	Transferase (acyl groups)
O35956	Transporter
O41156	Transferase (one-carbon groups)
O42275	Hydrolase (ester bonds)
O42392	Signaling receptor (not transmembrane)
O42392	Transcription regulator
O42392	DNA binding
O42713	Oxidoreductase
O43148	Transferase (one-carbon groups)
O43175	Oxidoreductase
O43187	Kinase
O43193	G protein-coupled receptor
O43283	Enzyme regulator
O43283	Kinase
O43293	Kinase
O43318	Kinase
O43353	Kinase
O43426	Hydrolase (ester bonds)
O43451	Hydrolase (glycosyl bonds)
O43463	Transferase (one-carbon groups)
O43463	DNA binding
O43497	Transporter
O43511	Transporter
O43526	Transporter
O43570	Lyase
O43598	Hydrolase (glycosyl bonds)
O43603	G protein-coupled receptor
O43613	G protein-coupled receptor
O43614	G protein-coupled receptor
O43683	Kinase
O43739	Enzyme regulator
O43781	Kinase
O43791	no_function
O43826	Transporter
O43865	no_function
O43868	Transporter
O43897	Peptidase
O43924	Enzyme regulator
O46128	Transmembrane signaling receptors (other)
O46128	Transporter
O46521	Oxidoreductase
O46635	G protein-coupled receptor
O46635	Serotonin binding
O49150	Oxidoreductase
O54050	Oxidoreductase
O54698	Transporter
O54699	Transporter
O54735	Hydrolase (ester bonds)
O54754	Oxidoreductase
O54798	G protein-coupled receptor
O54814	G protein-coupled receptor
O54833	Kinase
O54898	Transporter
O54908	no_function
O54912	Transporter
O54939	Oxidoreductase
O54967	Kinase
O54988	Kinase
O55017	Transporter
O55143	Transporter
O55192	Transporter
O55193	G protein-coupled receptor
O55234	Peptidase
O55239	Transferase (one-carbon groups)
O55242	G protein-coupled receptor
O57585	G protein-coupled receptor
O60218	Oxidoreductase
O60235	Peptidase
O60259	Peptidase
O60282	Hydrolase (acid anhydrides)
O60285	Kinase
O60307	Kinase
O60313	Hydrolase (acid anhydrides)
O60331	Kinase
O60333	Hydrolase (acid anhydrides)
O60341	Oxidoreductase
O60341	Transcription regulator
O60346	Hydrolase (ester bonds)
O60361	Kinase
O60427	Oxidoreductase
O60502	Hydrolase (glycosyl bonds)
O60551	Transferase (acyl groups)
O60563	Enzyme regulator
O60563	DNA binding
O60602	Hydrolase (glycosyl bonds)
O60602	Transmembrane signaling receptors (other)
O60603	Hydrolase (glycosyl bonds)
O60603	Transmembrane signaling receptors (other)
O60658	Hydrolase (ester bonds)
O60671	Hydrolase (ester bonds)
O60671	DNA binding
O60674	Kinase
O60678	Transferase (one-carbon groups)
O60725	Transferase (one-carbon groups)
O60733	Hydrolase (ester bonds)
O60741	Transporter
O60755	G protein-coupled receptor
O60825	Hydrolase (ester bonds)
O60825	Kinase
O60841	Hydrolase (acid anhydrides)
O60882	Peptidase
O60885	Transcription regulator
O60885	Kinase
O60911	Peptidase
O60928	Transporter
O60930	Hydrolase (ester bonds)
O61059	Transporter
O61142	Peptidase
O62664	Oxidoreductase
O62698	Oxidoreductase
O64411	Oxidoreductase
O68720	Hydrolase (ester bonds)
O69002	Oxidoreductase
O69638	Hydrolase (other)
O70126	Kinase
O70174	Transmembrane signaling receptors (other)
O70174	Acetylcholine binding
O70174	Transporter
O70196	Peptidase
O70199	Oxidoreductase
O70212	Transmembrane signaling receptors (other)
O70212	Transporter
O70276	Hydrolase (ester bonds)
O70276	Isomerase
O70276	Oxidoreductase
O70282	Hydrolase (glycosyl bonds)
O70305	no_function
O70342	G protein-coupled receptor
O70344	Transporter
O70370	Peptidase
O70423	Oxidoreductase
O70444	Kinase
O70526	G protein-coupled receptor
O70528	G protein-coupled receptor
O70536	Transferase (acyl groups)
O70551	Kinase
O70594	Transporter
O75106	Oxidoreductase
O75116	Kinase
O75164	Oxidoreductase
O75173	Peptidase
O75311	Transmembrane signaling receptors (other)
O75311	Transporter
O75355	Hydrolase (acid anhydrides)
O75356	Hydrolase (acid anhydrides)
O75365	Hydrolase (ester bonds)
O75385	Kinase
O75387	Transporter
O75460	Hydrolase (ester bonds)
O75460	Kinase
O75469	Signaling receptor (not transmembrane)
O75469	Transcription regulator
O75469	DNA binding
O75493	Lyase
O75530	Enzyme regulator
O75530	Transferase (one-carbon groups)
O75581	Enzyme regulator
O75581	Transmembrane signaling receptors (other)
O75581	Transporter
O75582	Kinase
O75604	Peptidase
O75608	Hydrolase (ester bonds)
O75643	Hydrolase (acid anhydrides)
O75676	Kinase
O75716	Kinase
O75716	DNA binding
O75747	Kinase
O75751	Transporter
O75762	Transporter
O75807	Enzyme regulator
O75874	Oxidoreductase
O75907	Transferase (acyl groups)
O75908	Transferase (acyl groups)
O75914	Kinase
O75936	Oxidoreductase
O76031	Enzyme regulator
O76031	Hydrolase (acid anhydrides)
O76039	Kinase
O76074	Hydrolase (ester bonds)
O76083	Hydrolase (ester bonds)
O77078	Transferase (acyl groups)
O77239	Kinase
O77636	Peptidase
O77656	Peptidase
O77669	Peptidase
O77746	Hydrolase (ester bonds)
O77759	Transferase (acyl groups)
O77760	Transferase (acyl groups)
O77773	Transporter
O77823	Hydrolase (ester bonds)
O78749	Oxidoreductase
O78749	Transporter
O78750	Oxidoreductase
O78750	Transporter
O85361	Hydrolase (glycosyl bonds)
O87171	Oxidoreductase
O88275	Signaling receptor (not transmembrane)
O88275	Transcription regulator
O88275	DNA binding
O88351	Kinase
O88410	G protein-coupled receptor
O88420	Transporter
O88427	Transporter
O88457	Transporter
O88508	Transferase (one-carbon groups)
O88508	DNA binding
O88509	Transcription regulator
O88509	Transferase (one-carbon groups)
O88509	DNA binding
O88533	Lyase
O88554	Transferase (glycosyl groups)
O88554	DNA binding
O88587	Transferase (one-carbon groups)
O88643	Kinase
O88693	Transferase (glycosyl groups)
O88867	Oxidoreductase
O88909	Transporter
O89017	Peptidase
O89049	Oxidoreductase
O89085	Hydrolase (ester bonds)
O92972	Enzyme regulator
O92972	Peptidase
O92972	Hydrolase (acid anhydrides)
O92972	Transferase (phosphorus-containing groups, non-kinase)
O92972	Transporter
O93344	Oxidoreductase
O93874	Oxidoreductase
O94759	Transporter
O94760	Hydrolase (C-N bonds, no peptides)
O94768	Kinase
O94782	Peptidase
O94788	Oxidoreductase
O94804	Kinase
O94806	Kinase
O94921	Kinase
O94925	Hydrolase (C-N bonds, no peptides)
O94953	Oxidoreductase
O94956	Transporter
O94966	Peptidase
O95050	Transferase (one-carbon groups)
O95069	Transporter
O95136	G protein-coupled receptor
O95180	Transporter
O95235	Hydrolase (acid anhydrides)
O95251	Transcription regulator
O95251	Transferase (acyl groups)
O95251	DNA binding
O95259	Transporter
O95263	Hydrolase (ester bonds)
O95267	Enzyme regulator
O95271	Transferase (glycosyl groups)
O95278	Hydrolase (ester bonds)
O95278	Transferase (glycosyl groups)
O95279	Transporter
O95347	Hydrolase (acid anhydrides)
O95347	DNA binding
O95352	Ligase
O95372	Hydrolase (ester bonds)
O95382	Kinase
O95398	Enzyme regulator
O95436	Transporter
O95453	Hydrolase (ester bonds)
O95470	Lyase
O95544	Kinase
O95551	Hydrolase (ester bonds)
O95551	Transcription regulator
O95551	DNA binding
O95563	Transporter
O95602	Transferase (phosphorus-containing groups, non-kinase)
O95602	DNA binding
O95630	Peptidase
O95696	no_function
O95718	Signaling receptor (not transmembrane)
O95718	Transcription regulator
O95718	DNA binding
O95747	Kinase
O95749	Transferase (alkyl or aryl groups, no methyl)
O95819	Kinase
O95822	Lyase
O95835	Kinase
O95848	Hydrolase (acid anhydrides)
O95864	Oxidoreductase
O95870	Hydrolase (ester bonds)
O95931	no_function
O95932	Transferase (acyl groups)
O95977	G protein-coupled receptor
O96013	Kinase
O96017	Kinase
O96028	Transferase (one-carbon groups)
O96028	DNA binding
O96214	Kinase
O96394	Hydrolase (C-N bonds, no peptides)
O96526	Kinase
O96935	Peptidase
O97467	Transporter
O97554	Oxidoreductase
O97578	Peptidase
O97972	Transferase (one-carbon groups)
P00166	Oxidoreductase
P00325	Oxidoreductase
P00338	Oxidoreductase
P00346	Oxidoreductase
P00349	Oxidoreductase
P00352	Enzyme regulator
P00352	Oxidoreductase
P00371	Oxidoreductase
P00374	Oxidoreductase
P00374	Folic acid binding
P00375	Oxidoreductase
P00375	Folic acid binding
P00376	Oxidoreductase
P00378	Oxidoreductase
P00380	Oxidoreductase
P00381	Oxidoreductase
P00382	Oxidoreductase
P00387	Oxidoreductase
P00390	Oxidoreductase
P00395	Oxidoreductase
P00395	Transporter
P00403	Oxidoreductase
P00403	Transporter
P00438	Oxidoreductase
P00439	Oxidoreductase
P00441	Oxidoreductase
P00451	Oxidoreductase
P00469	Transferase (one-carbon groups)
P00488	Transferase (acyl groups)
P00489	Transferase (glycosyl groups)
P00491	Transferase (glycosyl groups)
P00492	Transferase (glycosyl groups)
P00516	Kinase
P00519	Transcription regulator
P00519	Kinase
P00519	DNA binding
P00520	Kinase
P00520	DNA binding
P00521	Kinase
P00523	Kinase
P00533	Transmembrane receptor protein kinase
P00533	Kinase
P00533	DNA binding
P00558	Oxidoreductase
P00558	Kinase
P00563	Kinase
P00591	Hydrolase (ester bonds)
P00592	Hydrolase (ester bonds)
P00599	Hydrolase (ester bonds)
P00602	Hydrolase (ester bonds)
P00623	Hydrolase (ester bonds)
P00630	Hydrolase (ester bonds)
P00636	Hydrolase (ester bonds)
P00642	Hydrolase (ester bonds)
P00642	DNA binding
P00669	Hydrolase (ester bonds)
P00669	Lyase
P00690	Hydrolase (glycosyl bonds)
P00698	Hydrolase (glycosyl bonds)
P00720	Hydrolase (glycosyl bonds)
P00727	Peptidase
P00730	Peptidase
P00734	Peptidase
P00734	Signaling receptor (not transmembrane)
P00735	Peptidase
P00736	Peptidase
P00740	Peptidase
P00742	Peptidase
P00743	Peptidase
P00746	Peptidase
P00747	Peptidase
P00748	Peptidase
P00749	Peptidase
P00750	Peptidase
P00751	Peptidase
P00752	Peptidase
P00760	Peptidase
P00761	Peptidase
P00762	Peptidase
P00763	Peptidase
P00766	Peptidase
P00780	Peptidase
P00784	Peptidase
P00786	Enzyme regulator
P00786	Peptidase
P00786	Transmembrane signaling receptors (other)
P00787	Peptidase
P00791	Peptidase
P00797	Peptidase
P00800	Peptidase
P00807	Hydrolase (C-N bonds, no peptides)
P00808	Hydrolase (C-N bonds, no peptides)
P00809	Hydrolase (C-N bonds, no peptides)
P00813	Hydrolase (C-N bonds, no peptides)
P00845	Ligase
P00845	Transporter
P00883	Lyase
P00915	Hydrolase (ester bonds)
P00915	Lyase
P00918	Hydrolase (ester bonds)
P00918	Lyase
P00921	Lyase
P00939	Isomerase
P00939	Lyase
P00970	Ligase
P01031	Enzyme regulator
P01103	Transcription regulator
P01103	DNA binding
P01106	Transcription regulator
P01106	DNA binding
P01116	Hydrolase (acid anhydrides)
P01256	no_function
P01275	no_function
P01375	DNA binding
P01584	no_function
P01589	Transmembrane signaling receptors (other)
P01590	Transmembrane signaling receptors (other)
P01730	Transmembrane signaling receptors (other)
P02144	no_function
P02511	no_function
P02550	Hydrolase (acid anhydrides)
P02692	Transporter
P02699	Enzyme regulator
P02699	G protein-coupled receptor
P02708	Transmembrane signaling receptors (other)
P02708	Acetylcholine binding
P02708	Transporter
P02748	no_function
P02752	Signaling receptor (not transmembrane)
P02752	Transporter
P02753	Transporter
P02754	no_function
